Season,PLAYER,POS,Lane Agility Time  (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches)
2012-13,Kim English,SG,10.59,3.33,29,36.5
2012-13,Festus Ezeli,C-PF,12.35,3.29,34,33.5
2012-13,Drew Gordon,PF,11.35,3.49,29,34
2012-13,JaMychal Green,PF,10.63,3.38,29.5,32.5
2012-13,Draymond Green,PF-SF,11.01,3.4,28,33
2012-13,Maurice Harkless,SF,10.87,3.25,32.5,37
2012-13,John Henson,PF,-,-,25.5,30
2012-13,Tu Holloway,PG,11,3.42,28,35
2012-13,Robbie Hummel,SF,11.56,3.41,27.5,30
2012-13,Bernard James,PF,11.84,3.4,30,32.5
2012-13,John Jenkins,SG,11.36,3.37,30.5,36.5
2012-13,Orlando Johnson,SG,10.98,3.25,32,39.5
2012-13,Darius Johnson-Odom,SG,10.76,3.21,33.5,41.5
2012-13,Terrence Jones,PF-SF,11.57,3.4,29.5,34.5
2012-13,Perry Jones,PF-SF,11.31,3.19,33,38.5
2012-13,Kevin Jones,PF,11.94,3.6,27.5,32.5
2012-13,Kris Joseph,SG,-,3.46,28.5,35
2012-13,Michael Kidd-Gilchrist,SF,11.77,3.18,32,35.5
2012-13,Jeremy Lamb,SG,10.98,3.25,31.5,38
2012-13,Doron Lamb,SG-PG,11.12,3.41,29,33.5
2012-13,Meyers Leonard,C,11.34,3.41,30,32.5
2012-13,Damian Lillard,PG,11.15,3.34,34.5,39.5
2012-13,Scott Machado,PG,11.26,3.3,27,32.5
2012-13,Kendall Marshall,PG,12.03,3.23,31,37
2012-13,Fab Melo,C,12.14,3.44,29.5,31
2012-13,Khris Middleton,SF,11.45,3.47,28,31
2012-13,Darius Miller,SF-SG,11.34,3.31,33,37
2012-13,Quincy Miller,SF,11.05,3.48,30.5,36
2012-13,Tony Mitchell,SG,11.72,3.47,31.5,40
2012-13,Arnett Moultrie,PF,11.32,3.22,33.5,37.5
2012-13,Kevin Murphy,SG,10.97,3.42,31,36.5
2012-13,Andrew Nicholson,PF,11.89,3.67,28.5,30.5
2012-13,Kyle O'Quinn,PF,11.65,3.53,31.5,31.5
2012-13,Miles Plumlee,PF-C,10.64,3.36,34,40.5
2012-13,Austin Rivers,SG-PG,11.54,3.32,32.5,37.5
2012-13,Thomas Robinson,PF,11.96,3.17,28.5,35.5
2012-13,Terrence Ross,SG-SF,11.78,3.28,31,37.5
2012-13,Mike Scott,PF,11.59,3.44,27,32.5
2012-13,Henry Sims,C-PF,12.33,3.44,26.5,29.5
2012-13,Jared Sullinger,PF,12.77,3.81,29.5,31
2012-13,Jeff Taylor,SF-SG,10.87,3.29,33.5,40
2012-13,Tyshawn Taylor,PG,11.48,3.2,32,36.5
2012-13,Jordan Taylor,PG,10.57,3.19,33,36.5
2012-13,Marquis Teague,PG,10.65,3.19,32.5,40.5
2012-13,Hollis Thompson,SF,11.72,3.38,28.5,36.5
2012-13,Tony Wroten,PG,10.75,3.24,30,35.5
2012-13,Tyler Zeller,PF-C,11.13,3.4,30,34
2011-12,Keith Benson,C-PF,11.88,3.35,31.5,36
2011-12,Marshon Brooks,SG,10.74,3.09,34,38.5
2011-12,Alec Burks,SG,10.96,3.17,29,36
2011-12,Jimmy Butler,SF,11.12,3.15,32,39
2011-12,Norris Cole,PG,10.07,3.22,29.5,38.5
2011-12,Jon Diebler,SG,10.94,3.37,28,35
2011-12,Michael Dunigan,PF-C,11.85,3.27,29.5,34.5
2011-12,LaceDarius Dunn,SG,11.45,3.27,26.5,31
2011-12,Kenneth Faried,PF,11.35,3.26,30.5,35
2011-12,James Fredette,PG,10.42,3.21,28,33
2011-12,Andrew Goudelock,PG,10.33,3.1,32.5,37
2011-12,Jordan Hamilton,SF,11.47,3.3,25,32
2011-12,Justin Harper,PF-SF,11.92,3.3,28.5,33
2011-12,Tobias Harris,SF-PF,10.96,3.17,31.5,37.5
2011-12,Tyler Honeycutt,SF,11.68,3.07,30,37
2011-12,Scotty Hopson,SG,10.47,3.18,32.5,36
2011-12,Rick Jackson,PF,11.51,3.26,28.5,33
2011-12,Charles Jenkins,PG-SG,11.68,3.18,29.5,34
2011-12,JaJuan Johnson,PF,11.21,3.14,33.5,38
2011-12,Cory Joseph,PG,10.75,3.27,27.5,35
2011-12,Enes Kanter,PF-C,11.3,3.26,26,32.5
2011-12,Brandon Knight,PG,10.74,3.07,29,37.5
2011-12,Malcolm Lee,SG,11.2,3.09,30,35.5
2011-12,Kawhi Leonard,SF,11.45,3.15,25.5,32
2011-12,Travis Leslie,SG,11,3.13,33,40.5
2011-12,Jon Leuer,PF,10.82,3.36,29.5,36.5
2011-12,DeAndre Liggins,SF-SG,-,3.33,27,31
2011-12,David Lighty,SG,10.81,3.25,28.5,33
2011-12,Shelvin Mack,PG,11.23,3.18,32,39
2011-12,Demetri McCamey,PG,11.55,3.19,27,33
2011-12,E'Twaun Moore,SG,11.12,3.31,32,34.5
2011-12,Markieff Morris,PF,-,3.4,27,31.5
2011-12,Marcus Morris,PF-SF,-,3.15,29,33
2011-12,Darius Morris,PG-SG,11,3.2,24.5,32
2011-12,Chandler Parsons,SF,11.05,3.29,25.5,31.5
2011-12,Jereme Richmond,SF,11.74,3.02,27,33.5
2011-12,Josh Selby,SG-PG,11.13,3.2,29.5,42
2011-12,Iman Shumpert,PG-SG,11.1,3.18,36.5,42
2011-12,Kyle Singler,SF,11.22,3.21,23,30
2011-12,Chris Singleton,SF,11.33,3.09,30.5,37.5
2011-12,Jamie Skeen,PF,12.43,3.46,26,30.5
2011-12,Gregory Smith,PF-C,12.43,3.36,29.5,36
2011-12,Nolan Smith,PG,11.05,3.17,28.5,34
2011-12,Malcolm Thomas,PF,11.31,3.29,32,36.5
2011-12,Isaiah Thomas,PG,10.49,3.14,31.5,40
2011-12,Trey Thompkins,PF,11.72,3.41,27.5,30.5
2011-12,Klay Thompson,SG,10.99,3.24,26.5,31.5
2011-12,Tristan Thompson,PF,10.92,3.26,30,35
2011-12,Jeremy Tyler,PF-C,11.26,3.29,28,33.5
2011-12,Nikola Vucevic,PF-C,12.02,3.27,23.5,25
2011-12,Kemba Walker,PG,10.87,3.16,32,39.5
2011-12,Derrick Williams,PF-SF,11.03,3.23,29,34.5
2011-12,Jordan Williams,PF,12.74,3.45,25,30.5
2010-11,Solomon Alabi,C,13.2,3.68,22.5,26
2010-11,Cole Aldrich,C,11.48,3.35,23,28
2010-11,Al-Farouq Aminu,SF,11.29,3.3,27,33.5
2010-11,James Anderson,SF,11.86,3.19,30,35.5
2010-11,Luke Babbitt,SF-PF,10.98,3.4,29.5,37.5
2010-11,Trevor Booker,PF,11.15,3.1,31,36
2010-11,Craig Brackins,PF-SF,11.65,3.39,26,35
2010-11,Avery Bradley,SG-PG,11.47,3.14,31.5,37.5
2010-11,Derrick Caracter,PF,12.78,3.61,25,30.5
2010-11,Sherron Collins,PG,12.31,3.24,27.5,33
2010-11,DeMarcus Cousins,C,11.4,3.55,23.5,27.5
2010-11,Jordan Crawford,SG,11.03,3.37,31.5,34.5
2010-11,Ed Davis,PF,11.7,3.21,31,36
2010-11,Devin Ebanks,SF,11.69,3.44,23.5,32
2010-11,Derrick Favors,PF,11.74,3.25,31.5,35.5
2010-11,Keith Gallon,PF-C,13.44,3.7,23.5,28.5
2010-11,Charles Garcia,SF,11.65,3.23,24.5,30.5
2010-11,Luke Harangody,PF,11.83,3.41,24,28.5
2010-11,Gordon Hayward,SF,11.73,3.22,30.5,34.5
2010-11,Lazar Hayward,SG-SF,10.87,3.31,31,36
2010-11,Xavier Henry,SG,11.1,3.18,28.5,36.5
2010-11,Darington Hobson,SG-SF,11.68,3.25,29,34
2010-11,Damion James,SF,10.89,3.2,29,33
2010-11,Armon Johnson,PG-SG,11.25,3.19,31.5,38.5
2010-11,Wesley Johnson,SF,11.43,3.14,32,37
2010-11,Dominique Jones,SG,10.88,3.31,26,32.5
2010-11,Sylven Landesberg,SG,11.59,3.36,28,32
2010-11,Gani Lawal,PF,11.61,3.24,27,31.5
2010-11,Greg Monroe,PF-C,12.1,3.35,25,29
2010-11,Daniel Orton,C,12.32,3.39,24,30.5
2010-11,Artsiom Parakhouski,C,12.07,3.33,25.5,26.5
2010-11,Patrick Patterson,PF,11.14,3.25,28.5,33.5
2010-11,Andy Rautins,SG,11.27,3.49,23.5,30.5
2010-11,Ryan Richards,PF,11.33,3.37,25,28.5
2010-11,Stanley Robinson,SF,11.65,3.23,-,37.5
2010-11,Larry Sanders,PF-C,12.49,3.27,25.5,28
2010-11,Lance Stephenson,SG,11.39,3.38,27,33
2010-11,Mikhail Torrance,PG,11.43,3.17,23,32
2010-11,Evan Turner,SG,11.06,3.27,27.5,34.5
2010-11,Ekpe Udoh,PF,11.15,3.29,31,33.5
2010-11,Jarvis Varnado,PF-C,11.61,3.37,29.5,32.5
2010-11,John Wall,PG,10.84,3.14,30,39
2010-11,Willie Warren,SG-PG,11.21,3.5,23,31.5
2010-11,Terrico White,SG-PG,11.38,3.15,31,40
2010-11,Hassan Whiteside,C-PF,11.83,3.54,27,31.5
2009-10,Jeff Adrien,PF,11.34,3.32,27.5,31.5
2009-10,Jeff Ayres,PF,11.98,3.14,31,35
2009-10,Rodrigue Beaubois,PG,10.49,3.15,29.5,39
2009-10,DeJuan Blair,PF,11.5,3.45,26,33
2009-10,Derrick Brown,SF-PF,11.26,3.13,30.5,35.5
2009-10,Chase Budinger,SF-SG,11.08,3.24,29.5,38.5
2009-10,Omri Casspi,SF,11.15,3.28,25.5,32.5
2009-10,Dionte Christmas,SG,10.83,3.21,27,33.5
2009-10,Earl Clark,SF-PF,11.17,3.35,28.5,33
2009-10,Darren Collison,PG,10.45,3.1,30.5,33.5
2009-10,Dante Cunningham,PF,11.18,3.26,28,35
2009-10,Stephen Curry,PG-SG,11.07,3.28,29.5,35.5
2009-10,Austin Daye,SF-PF,12.11,3.55,25,28
2009-10,DeMar DeRozan,SG-SF,11.88,3.31,29,38.5
2009-10,Toney Douglas,PG,10.63,3.03,28,32.5
2009-10,Wayne Ellington,SG,11.14,3.2,31.5,38
2009-10,Tyreke Evans,PG-SG,11.81,3.17,28.5,34
2009-10,Jonny Flynn,PG,10.86,3.23,33,40
2009-10,Taj Gibson,PF,11.56,3.41,25.5,30
2009-10,Danny Green,SG-SF,11.3,3.3,29,33
2009-10,Blake Griffin,PF,10.95,3.28,32,35.5
2009-10,Tyler Hansbrough,PF,11.12,3.27,27.5,34
2009-10,James Harden,SG,11.1,3.13,31.5,37
2009-10,Gerald Henderson,SG-SF,11.17,3.14,31.5,35
2009-10,Josh Heytvelt,PF-C,11.67,3.38,28.5,34
2009-10,Jordan Hill,PF-C,12.23,3.3,31,35
2009-10,Jrue Holiday,PG-SG,10.64,3.21,28.5,34
2009-10,Joe Ingles,SF,10.66,3.3,26,31
2009-10,James Johnson,SF-PF,11.21,3.23,30.5,35
2009-10,Ty Lawson,PG,10.98,3.12,29,36.5
2009-10,Eric Maynor,PG,10.78,3.19,28.5,31.5
2009-10,Jack McClinton,SG-PG,10.44,3.21,30,36.5
2009-10,Jerel McNeal,SG,10.61,3.25,31.5,36.5
2009-10,Jodie Meeks,SG,10.96,3.1,28.5,37
2009-10,Patty Mills,PG,10.87,3.1,27.5,33
2009-10,Byron Mullens,C,11.1,3.45,28.5,32.5
2009-10,A.J. Price,PG,10.99,3.22,26,31
2009-10,Tyler Smith,SF,10.69,3.24,29,33.5
2009-10,DaJuan Summers,SF,10.94,3.17,29.5,34.5
2009-10,Jermaine Taylor,SG,11.54,3.32,34,37.5
2009-10,Jeff Teague,PG,11.05,3.18,30.5,36.5
2009-10,Marcus Thornton,SG,10.73,3.28,31,33
2009-10,Terrence Williams,SG-SF,11.15,3.18,30.5,37
2009-10,Sam Young,SF-SG,11.47,3.45,27.5,33
2008-09,Joe Alexander,SF-PF,11.33,2.99,32.5,38.5
2008-09,Darrell Arthur,PF,12.18,3.14,28.5,30
2008-09,D.J. Augustin,PG,11.27,3.07,28.5,35
2008-09,Jerryd Bayless,PG-SG,11.26,3.07,31,38
2008-09,Michael Beasley,PF-SF,11.06,3.24,30,35
2008-09,Ramel Bradley,PG-SG,10.68,3.24,24.5,29.5
2008-09,Tyrone Brazelton,PG,11.59,3.25,30,34
2008-09,Takais Brown,PF,12.47,3.25,29,31
2008-09,Keith Brumbaugh,SF-PF,11.65,3.28,26,27
2008-09,Stanley Burrell,PG,11.19,3.19,29.5,34.5
2008-09,Brian Butch,C-PF,11.87,3.52,24,26.5
2008-09,Joe Crawford,SG,11.67,3.22,31,36
2008-09,Chris Daniels,C-PF,12.72,3.56,26,28.5
2008-09,Joey Dorsey,PF-C,11.84,3.2,27.5,33
2008-09,Marcus Dove,SF-PF,11.59,3.26,27.5,33.5
2008-09,Josh Duncan,PF,12.47,3.26,28,32
2008-09,Frank Elegar,PF,11.86,3.17,33.5,37.5
2008-09,Patrick Ewing Jr.,SF-PF,11.77,3.43,35,42
2008-09,Gary Forbes,SG,11.45,3.25,27.5,33.5
2008-09,Shan Foster,SG,12.3,3.24,30,33
2008-09,James Gist,PF,11.37,3.14,30.5,35
2008-09,Vladimir Golubovic,C,12.4,3.33,21.5,27
2008-09,Eric Gordon,SG,10.81,3.01,32,40
2008-09,Kentrell Gransberry,C,12.16,3.32,24.5,27.5
2008-09,Donte Greene,SF-PF,11.21,3.2,27.5,31.5
2008-09,Malik Hairston,SG,11.33,3.08,30.5,38
2008-09,DeVon Hardin,C-PF,11.49,3.33,29.5,32
2008-09,Richard Hendrix,PF,10.62,3.27,26.5,28
2008-09,George Hill,PG,12.2,3.07,34,37.5
2008-09,Kyle Hines,SF-PF,12.17,3.4,28.5,33
2008-09,Jiri Hubalek,C-PF,12.26,3.54,20.5,26
2008-09,Lester Hudson,PG,11.15,3.16,30.5,36
2008-09,Othello Hunter,PF-SF,11.51,3.18,28,34.5
2008-09,Darnell Jackson,PF,11.75,3.26,27,31
2008-09,Davon Jefferson,SF,12.02,3.36,27,32
2008-09,Joseph Jones,PF,11.61,3.33,25.5,31
2008-09,DeAndre Jordan,C,12.3,3.27,26,30.5
2008-09,Sasha Kaun,C-PF,12.06,3.2,29,32
2008-09,Marcelus Kemp,SG,11.79,3.39,26,30
2008-09,Maarty Leunen,SF,11.57,3.36,29.5,34.5
2008-09,Brook Lopez,C,12.77,3.57,27.5,30.5
2008-09,Kevin Love,PF,11.17,3.22,29.5,35
2008-09,Aleks Maric,C,11.76,3.35,23,28
2008-09,O.J. Mayo,SG-PG,11.04,3.14,30.5,41
2008-09,James Mays,PF,11.23,3.19,29.5,35
2008-09,Luc Mbah a Moute,SF,11.71,3.17,32,38.5
2008-09,JaVale McGee,C-PF,12.75,3.25,27,32.5
2008-09,Drew Neitzel,PG,11.19,3.2,25.5,32
2008-09,DeMarcus Nelson,PG-SG,10.54,3.13,34.5,38.5
2008-09,David Padgett,C-PF,12.45,3.45,24,28
2008-09,Jeremy Pargo,PG,10.65,3.07,32,37
2008-09,Trent Plaisted,PF,11.32,3.17,30.5,35.5
2008-09,Quan Prowell,SF-PF,11.79,3.14,32,36
2008-09,Shaun Pruitt,C-PF,11.3,3.4,27,32.5
2008-09,Anthony Randolph,PF-SF,11.86,3.26,29,35
2008-09,Charles Rhodes,PF,11.51,3.13,26.5,33.5
2008-09,Brian Roberts,PG,10.65,3.05,31.5,36.5
2008-09,Russell Robinson,PG,11.3,3.15,25,31.5
2008-09,Derrick Rose,PG,11.69,3.05,34.5,40
2008-09,Sean Singletary,PG,-,-,26,-
2008-09,Ronald Steele,PG,11.08,3.26,25,29.5
2008-09,Bryce Taylor,SG,11.08,3.19,34.5,41
2008-09,Mike Taylor,SG-PG,10.98,3.08,31,39
2008-09,Mark Tyndale,SG-SF,12.52,3.14,27,33.5
2008-09,Robert Vaden,SG,11.97,3.4,26,29.5
2008-09,Deron Washington,SF,11.03,3.09,34,40
2008-09,Sonny Weems,SG-SF,10.58,2.96,29,36.5
2008-09,Russell Westbrook,PG,10.98,3.08,30,36.5
2008-09,Reggie Williams,SG,11.32,3.07,31.5,36.5
2007-08,Mohamed Abukar,SF,11.78,3.37,30.5,35
2007-08,Mario Boggan,PF,12.18,3.45,24,26.5
2007-08,Craig Bradshaw,PF,11.88,3.54,26,28
2007-08,Corey Brewer,SF-SG,11.69,3.22,30.5,36.5
2007-08,Aaron Brooks,PG,10.57,3.2,32.5,39.5
2007-08,Bobby Brown,PG,11.27,3.25,32.5,41
2007-08,Russell Carter,SG,11.61,3.29,33,38.5
2007-08,Coleman Collins,PF,11.47,-,30,35
2007-08,Mike Conley,PG,11.63,3.09,35.5,40.5
2007-08,Daequan Cook,SG,11.12,3.22,30,34.5
2007-08,Ryvon Covile,C-PF,12.52,3.37,25,30.5
2007-08,Javaris Crittenton,PG,11.6,3.32,32.5,38
2007-08,Jermareo Davidson,PF,12.63,3.53,27,30
2007-08,Zabian Dowdell,PG,11.13,3.29,30,33.5
2007-08,Jared Dudley,SF,11.32,3.45,28,32
2007-08,Kevin Durant,SF-PF,12.33,3.45,26,33.5
2007-08,Rashaun Freeman,PF,11.43,3.41,28,32
2007-08,Aaron Gray,C,12.07,3.7,27,32.5
2007-08,Jeff Green,SF,12,3.34,33.5,38
2007-08,Taurean Green,PG,11.3,3.26,29,32.5
2007-08,Caleb Green,PF,11.72,3.46,28.5,36
2007-08,Spencer Hawes,PF,11.88,3.51,26,29
2007-08,Brandon Heath,PG,11.39,3.28,32,36
2007-08,Herbert Hill,C,12.31,3.39,30.5,34
2007-08,Al Horford,PF,12.15,3.37,31,35.5
2007-08,Quinton Hosley,SF-SG,12.47,3.32,28.5,34
2007-08,James Hughes,C,13.31,3.37,31,33
2007-08,Jeremy Hunt,SG,12.11,3.29,30.5,33
2007-08,Ekene Ibekwe,PF,11,3.28,34.5,39
2007-08,Dominic James,PG,10.94,3.11,33.5,38.5
2007-08,Trey Johnson,SG,11.78,3.31,26.5,35
2007-08,Rashad Jones-Jennings,PF,12.18,3.29,25,30
2007-08,Jared Jordan,PG,11.02,3.39,24.5,28.5
2007-08,Coby Karl,SG-PG,11.57,3.41,32,34.5
2007-08,Antanas Kavaliauskas,PF,11.19,3.42,25.5,30
2007-08,Carl Landry,PF,11.35,3.29,31.5,36.5
2007-08,Stephane Lasme,PF,11.73,3.22,29.5,36
2007-08,Acie Law,PG,11,3.22,29,34
2007-08,Marko Lekic,C,11.96,3.43,24,30.5
2007-08,Ron Lewis,SG,11.59,3.22,33,38
2007-08,Cartier Martin,SF,12.1,3.43,27,29.5
2007-08,Dominic McGuire,SF,10.95,3.25,28.5,34.5
2007-08,Josh McRoberts,PF,11.7,3.47,27.5,31.5
2007-08,Sammy Mejia,SG,11.87,3.49,27,31.5
2007-08,Brad Newley,SG,11.77,3.29,29.5,31.5
2007-08,Demetris Nichols,SF,10.39,3.38,28.5,32.5
2007-08,Joakim Noah,PF,11.79,3.47,32.5,37.5
2007-08,Greg Oden,C,11.67,3.27,32,34
2007-08,Ivan Radenovic,PF,11.61,3.6,23,28
2007-08,JR Reynolds,PG,11.69,3.24,27.5,34.5
2007-08,Chris Richard,PF,11.39,3.29,26.5,30.5
2007-08,Dustin Salisbery,SG,11.07,3.12,34,38
2007-08,Blake Schilb,SG,11.63,3.36,26.5,33.5
2007-08,Renaldas Seibutis,SG,11.33,3.39,24,32.5
2007-08,Ramon Sessions,PG,11.65,3.27,29.5,33.5
2007-08,Mustafa Shakur,PG,11.82,3.27,28.5,35
2007-08,Jason Smith,PF,10.96,3.29,33.5,37.5
2007-08,DJ Strawberry,SG,10.87,3.14,28.5,35
2007-08,Rodney Stuckey,SG-PG,11.34,3.11,30.5,35
2007-08,Curtis Sumpter,SF,11.3,3.22,27.5,32.5
2007-08,Yue Sun,SF,10.68,3.45,29,34
2007-08,Jamaal Tatum,PG,11.51,3.22,28.5,33
2007-08,Reyshawn Terry,SF,11.76,3.26,31,37.5
2007-08,Al Thornton,SF,11.96,3.16,35,41
2007-08,Anthony Tolliver,PF,11.49,3.29,28.5,30
2007-08,Ali Traore,C-PF,12.16,3.52,25,29
2007-08,Kyle Visser,C,12.6,3.39,26,29
2007-08,Darryl Watkins,C,11.65,3.56,26.5,31
2007-08,Major Wingate,C,12.14,3.47,27.5,30.5
2007-08,DaShaun Wood,PG,11.4,3.23,31.5,34.5
2007-08,Julian Wright,SF-PF,11.48,3.36,28.5,33.5
2007-08,Brandan Wright,PF,11.76,3.31,30.5,35.5
2007-08,Avis Wyatt,PF,11.46,3.23,27.5,32
2007-08,Thaddeus Young,SF,11.06,3.19,34.5,37
2007-08,Nick Young,SG-SF,11,3.25,39.5,40.5
2006-07,Kenny Adeleke,PF-C,11.57,3.47,28.5,30.5
2006-07,Maurice Ager,SG-PG,11.73,3.22,29.5,35
2006-07,LaMarcus Aldridge,PF-C,12.02,3.43,26.5,34
2006-07,Morris Almond,SG-SF,11.45,3.19,31,35.5
2006-07,Lou Amundson,PF,10.58,3.2,32,35.5
2006-07,Rashad Anderson,SG,11.77,3.48,27.5,32.5
2006-07,Hilton Armstrong,C-PF,12.28,3.53,28.5,31.5
2006-07,James Augustine,PF,10.54,3.25,30,32.5
2006-07,Renaldo Balkman,SF-PF,11.58,3.22,30.5,35
2006-07,J.P. Batista,PF,11.62,3.38,26,30.5
2006-07,Will Blalock,PG,11.08,3.18,35,40
2006-07,Brandon Bowman,SF,11.41,3.31,31,34
2006-07,Ronnie Brewer,SG-PG,11.32,3.14,35,41
2006-07,Denham Brown,SG-SF,11.42,3.25,28,34.5
2006-07,Brad Buckman,PF,12.26,3.54,25.5,30.5
2006-07,Nik Caner-Medley,SF,10.57,3.21,28.5,35.5
2006-07,Rodney Carney,SG-SF,10.57,3.06,32,38.5
2006-07,Keydren Clark,PG,11.03,3.11,31,34
2006-07,Mardy Collins,PG-SG,12,3.27,31.5,37.5
2006-07,Taquan Dean,SG-PG,10.53,3.2,30.5,34.5
2006-07,Terence Dials,PF-C,11.54,3.5,26.5,30
2006-07,Sean Dockery,PG-SG,10.88,3.34,29,33
2006-07,Jordan Farmar,PG,11.07,3.17,33.5,42
2006-07,Randy Foye,SG-PG,10.53,3.23,32,38
2006-07,Torin Francis,PF-C,11.97,3.51,26.5,32
2006-07,Rudy Gay,SF-PF,11.03,3.32,33,40.5
2006-07,Nick George,SF-SG,11.69,3.25,30.5,38
2006-07,Taj Gray,PF-SF,11.02,3.45,28.5,33
2006-07,Dan Grunfeld,SF-SG,11.3,3.46,28,33.5
2006-07,Matt Haryasz,PF-C,11.34,3.46,27.5,31.5
2006-07,Eric Hicks,PF,12.06,3.34,30,34
2006-07,Tedric Hill,SF-PF,12.23,3.24,30,36.5
2006-07,Daniel Horton,PG-SG,10.35,3.16,30,36.5
2006-07,Solomon Jones,PF-C,11.27,3.3,32,39
2006-07,Bobby Jones,SF-SG,11.23,3.28,28.5,34.5
2006-07,Viktor Keyru,SG-PG,11.4,3.24,29,34.5
2006-07,Marco Killingsworth,PF,11.42,3.34,28,32
2006-07,Tarence Kinsey,SF-SG,10.67,3.3,29,35.5
2006-07,Carl Krauser,PG,11.62,3.38,26,31
2006-07,Chris McCray,SG,11.46,3.34,30.5,39
2006-07,Gerry McNamara,PG-SG,11.28,3.4,27,32
2006-07,Pops Mensah-Bonsu,PF-C,11.47,3.29,31.5,36
2006-07,Paul Miller,PF-C,12.25,3.66,29,35.5
2006-07,Paul Millsap,PF,11.67,3.3,28.5,32.5
2006-07,Dwayne Mitchell,SG-SF,11.45,3.16,37.5,41.5
2006-07,Adam Morrison,SF,11.46,3.37,25.5,30.5
2006-07,Yemi Nicholson,PF-C,12.57,3.65,26.5,26
2006-07,David Noel,SF-SG,10.54,3.07,34.5,38.5
2006-07,Steve Novak,SF,11.11,3.37,24.5,31
2006-07,Patrick O'Bryant,C,12.68,3.63,26.5,30
2006-07,Danilo Pinnock,PG-SG,11.91,3.08,29.5,35.5
2006-07,Chris Quinn,PG-SG,11.25,3.25,32,37
2006-07,Allan Ray,SG,11.01,3.2,28.5,35.5
2006-07,JJ Redick,SG,10.94,3.29,27.5,33
2006-07,Antywane Robinson,SF-PF,11.73,3.4,29,32.5
2006-07,Brandon Roy,SG-SF,11.13,3.27,34,40.5
2006-07,Blake Schilb,PG-SG,11.25,3.43,28.5,34.5
2006-07,Mouhamed Sene,C,12.52,3.38,28.5,31
2006-07,Cedric Simmons,PF-C,11.05,3.31,30.5,35
2006-07,Marcus Slaughter,PF-SF,11.56,3.4,30,34
2006-07,Craig Smith,PF,11.59,3.4,30,29.5
2006-07,Steven Smith,SF-PF,12.08,3.4,29.5,34.5
2006-07,Michael Southhall,C,12.29,3.51,31.5,37
2006-07,Frans Steyn,C,11.67,3.38,28.5,29.5
2006-07,Curtis Stinson,SG,10.95,3.27,28,31.5
2006-07,Tyrus Thomas,PF-SF,11.36,3.2,34,39.5
2006-07,Joah Tucker,SF-SG,11.58,3.31,29,34
2006-07,Ian Vouyoukas,C-PF,13.7,3.72,23,28
2006-07,Darius Washington,PG,10.71,3.26,29,37.5
2006-07,CJ Watson,PG,11.61,3.15,31.5,34
