Season,PLAYER,POS,Lane Agility Time  (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches)
2006-07,Justin Williams,C-PF,11.9,3.31,26.5,31.5
2006-07,Shelden Williams,PF-C,11.53,3.59,29,33.5
2006-07,Shawne Williams,SF-PF,10.69,3.3,32,31
2006-07,Eric Williams,C-PF,11.71,3.56,28.5,29
2006-07,Marcus Williams,PG,11.3,3.4,24.5,28
2006-07,Curtis Withers,PF-SF,11.54,3.1,35,36.5
2005-06,Alex Acker,SG,11.67,3.35,28,32
2005-06,Deji Akindele,C-PF,12.58,3.35,30.5,32.5
2005-06,Mustafa Al-Sayyad,PF-C,11.56,3.42,26.5,30.5
2005-06,Alan Anderson,SG-SF,10.32,3.27,26.5,30.5
2005-06,Martynas Andriuskevicius,C-PF,11.94,3.42,24,27.5
2005-06,Sean Banks,SF,11.74,3.35,25,31.5
2005-06,Eddie Basden,SG-SF,10.52,3.21,33,36.5
2005-06,Mike Bell,SF-PF,11.73,3.29,33.5,39.5
2005-06,Andrew Bogut,C-PF,12.06,3.51,27.5,33.5
2005-06,Will Bynum,PG-SG,11.12,3,33,40.5
2005-06,Will Conroy,PG,10.51,3.28,30.5,36.5
2005-06,Taylor Coppenrath,PF-SF,11.51,3.44,24.5,27
2005-06,Travis Diener,PG-SG,10.85,3.26,24.5,31
2005-06,Ike Diogu,PF,11.94,3.45,28,31
2005-06,Daryl Dorsey,PG,11.41,3.24,25,30.5
2005-06,Monta Ellis,SG-PG,12.13,3.31,26.5,31.5
2005-06,Raymond Felton,PG,10.5,3.06,29,33.5
2005-06,Rudy Fernandez,SG,10.48,3.33,26.5,35.5
2005-06,D'Or Fischer,C-PF,12.53,3.5,28,30.5
2005-06,Eddy Fobbs,C-PF,11.53,3.28,29.5,34
2005-06,Sharrod Ford,PF,11.92,3.2,28.5,37
2005-06,Channing Frye,PF-C,11.6,3.38,27.5,31
2005-06,Deng Gai,PF-C,12.51,3.27,31.5,35.5
2005-06,Francisco Garcia,SF-SG,10.63,3.33,27.5,31.5
2005-06,John Gilchrist,PG,11.48,3.15,30.5,36.5
2005-06,Marcin Gortat,PF-C,11.48,3.33,29.5,36
2005-06,Joey Graham,SF,10.62,3.05,30,36
2005-06,Danny Granger,,10.84,3.34,31,34
2005-06,Gerald Green,SF,11.2,3.21,31.5,39
2005-06,Charles Hayes,SF-PF,10.7,3.34,30,33
2005-06,Luther Head,PG-SG,11.12,3.21,31.5,38.5
2005-06,Julius Hodge,SG-SF,10.89,3.18,24.5,29
2005-06,Ersan Ilyasova,SF,11.59,3.56,22,30
2005-06,Jarrett Jack,PG,10.87,3.24,26,28.5
2005-06,Dwayne Jones,C-PF,11.87,3.25,28,31.5
2005-06,Mindaugas Katelynas,SF-PF,11.6,3.38,31.5,35
2005-06,Jason Klotz,C-PF,13.13,3.68,21.5,27
2005-06,Carl Krauser,PG-SG,11.62,3.38,26,31
2005-06,Keith Langford,SG-SF,11.38,3.23,32,29.5
2005-06,David Lee,PF,10.8,3.19,30.5,32.5
2005-06,John Lucas III,PG,10.44,3.14,29,34
2005-06,Rawle Marshall,SG-SF,11.64,3.21,30.5,37
2005-06,Sean May,PF,11.04,3.29,30,33
2005-06,Rashad McCants,SG,10.39,3.11,32.5,34.5
2005-06,Ivan McFarlin,PF,10.64,3.27,26.5,32
2005-06,Juan Mendez,PF-SF,11.7,3.24,29,33
2005-06,Aaron Miles,PG,10.69,3.22,32,37.5
2005-06,Ellis Myles,PF,12.8,3.42,26,28.5
2005-06,Larry O'Bannon,SG,11.44,3.18,31.5,36.5
2005-06,Drago Pasalic,SF-PF,12.12,3.48,25,30.5
2005-06,Chris Paul,PG,11.09,3.22,32,38
2005-06,Carlos Powell,SF-PF,11.54,3.21,27.5,34.5
2005-06,Ronnie Price,PG,10.49,3.29,31.5,39
2005-06,Anthony Roberson,PG,11.17,3.19,31.5,37
2005-06,Brandon Rush,SG-SF,11.33,3.31,32.5,35
2005-06,Luke Schenscher,C,12.4,3.47,23.5,26.5
2005-06,Wayne Simien,PF,11.05,3.35,27,27.5
2005-06,Tre Simmons,SG-SF,10.8,3.18,27,31.5
2005-06,David Simon,C-PF,11.98,3.44,28,33
2005-06,Chris Taft,PF,11.26,3.27,28.5,33
2005-06,Chris Thomas,PG,10.84,3.33,28.5,34
2005-06,Omar Thomas,SF-SG,11.11,3.27,25,29.5
2005-06,Ronny Turiaf,PF,11.5,3.23,30.5,33
2005-06,Charlie Villanueva,PF-SF,10.86,3.3,26,31
2005-06,Hakim Warrick,PF-SF,-,3.22,33,38
2005-06,Martell Webster,SF,11.39,3.39,28,30.5
2005-06,Robert Whaley,PF-C,12.11,3.25,28.5,33.5
2005-06,Deron Williams,PG,10.83,3.25,30,35
2005-06,Jawad Williams,SF,11.39,3.23,28,34
2005-06,Marvin Williams,PF-SF,11.11,3.17,29.5,35
2005-06,Bracey Wright,SG-PG,11.58,3.27,30,36
2005-06,Antoine Wright,SF-SG,11.45,3.41,26.5,29.5
2004-05,Tony Allen,SG,10.7,3.19,31.5,36.5
2004-05,Trevor Ariza,SG-SF,11.63,3.29,29.5,32
2004-05,Andre Barrett,PG,10.63,3.08,29,34.5
2004-05,Brandon Bass,PF,11.61,3.24,31.5,33
2004-05,Brian Boddicker,SF-PF,10.93,3.25,28,30
2004-05,Tim Bowers,PG-SG,11.24,3.21,37,43.5
2004-05,Andre Brown,PF-C,11.7,3.22,32,35.5
2004-05,Jackie Butler,C,13.32,3.4,23,25
2004-05,Aleksandar Capin,PG,11.5,3.27,23,29
2004-05,Ales Chan,C,12.9,3.62,21,29
2004-05,Josh Childress,SG-SF,11.95,3.38,29,36
2004-05,TJ Cummings,SF,11.58,3.12,27,31
2004-05,Erik Daniels,SF-PF,11.38,3.19,31,32
2004-05,Luol Deng,SF,11.46,3.34,27.5,31.5
2004-05,Marcus Douthit,C-PF,11.64,3.34,25.5,31.5
2004-05,Chris Duhon,PG,10.45,3.14,31.5,35
2004-05,Desmon Farmer,SG,10.89,3.2,24,31
2004-05,Luis Flores,PG-SG,10.97,3.1,29,32
2004-05,Matt Freije,SF-PF,11.15,3.25,29.5,31
2004-05,Chris Garnett,C-PF,11.75,3.36,27,31.5
2004-05,Ryan Gomes,SF-PF,12.49,3.24,26.5,30.5
2004-05,Ben Gordon,PG-SG,11.28,3.19,31.5,37.5
2004-05,Devin Harris,PG,11.03,3.19,30.5,37
2004-05,Dwight Howard,PF-C,11.21,3.14,30.5,35.5
2004-05,Rolando Howell,PF,11.91,3.28,28.5,34.5
2004-05,Kris Humphries,PF,11.33,3.2,29.5,36
2004-05,Andre Iguodala,SG-SF,11.17,3.18,30.5,34.5
2004-05,Martin Iti,C-PF,12.28,3.41,26.5,32.5
2004-05,Luke Jackson,SF-SG,11.1,3.24,26.5,36
2004-05,Al Jefferson,PF-SF,13.08,3.29,28.5,30
2004-05,Arthur Johnson,PF-C,11.81,3.38,26.5,28.5
2004-05,Ivan Koljevic,PG,11.07,3.28,26,28.5
2004-05,Shaun Livingston,PG-SG,10.72,3.23,26.5,30
2004-05,Jaime Lloreda,PF,12.93,3.23,25.5,29.5
2004-05,Bryant Matthews,SF-SG,11.08,3.13,29,34.5
2004-05,Marcus Melvin,SF-PF,11.81,3.33,25,30.5
2004-05,Rich Melzer,PF-SF,11.74,3.39,24.5,28.5
2004-05,Ricky Minard,PG-SG,10.94,3.1,27.5,33
2004-05,Marcus Moore,PG-SG,11.31,3.34,25,30
2004-05,James Moore,PF-SF,11.01,3.21,28.5,32.5
2004-05,Michel Morandais,SG-SF,11.45,3.22,30.5,33.5
2004-05,Jameer Nelson,PG,10.95,3.14,28.5,33.5
2004-05,Misan Nikagbatse,SG-PG,11.27,3.32,27.5,32.5
2004-05,Emeka Okafor,C-PF,12.32,3.15,31.5,34
2004-05,Randall Orr,PF-SF,11.18,3.27,26.5,33
2004-05,Dylan Page,SF,10.99,3.4,26,30
2004-05,Drago Pasalic,PF,12.97,3.56,25.5,30
2004-05,Rickey Paulding,SG,11.14,3.17,30,36
2004-05,Kelvin Pena,SG-PG,11.5,3.24,27.5,32.5
2004-05,Omar Quintero,PG,11.37,3.25,25,29
2004-05,Peter Ramos,C,12.61,3.6,24,26.5
2004-05,Jared Reiner,C-PF,12.65,3.56,22,26
2004-05,Lawrence Roberts,PF,12.52,3.3,27.5,33
2004-05,Bernard Robinson,SG-SF,10.91,3.17,28.5,34.5
2004-05,Nate Robinson,PG,10.75,2.96,35.5,43.5
2004-05,Aerick Sanders,PF,11.98,3.37,24.5,30.5
2004-05,Romain Sato,SG,11.27,3.18,31.5,35.5
2004-05,Blagota Sekulic,SF-PF,10.93,3.39,23.5,31.5
2004-05,Josh Smith,SG-SF,11.43,3.24,32.5,39.5
2004-05,J.R. Smith,SG-SF,10.93,3.21,29,35.5
2004-05,Kirk Snyder,SG-SF,10.79,3.13,30,35
2004-05,Pape Sow,PF-C,12.13,3.27,28,31.5
2004-05,Tiago Splitter,C-PF,11.65,3.38,26,31.5
2004-05,Tom Timmerrmans,PF-C,13.13,3.63,23,26.5
2004-05,Marko Tomas,SG-PG,11.8,3.23,32,31.5
2004-05,Jackson Vroman,PF-C,10.75,3.25,29.5,33.5
2004-05,Delonte West,PG-SG,11.2,3.15,30,35
2004-05,Damien Wilkins,SG-SF,11.92,3.15,26.5,31
2004-05,Mike Williams,SF,11.59,3.42,23.5,27.5
2004-05,Nate Williams,PF-SF,12.6,3.35,23.5,26
2004-05,Rashad Wright,PG,11.15,3.28,28.5,32.5
2003-04,Aloysius Anagonye,PF,12.93,3.3,31,34.5
2003-04,Rick Anderson,SF-PF,11.23,3.4,26,30.5
2003-04,Carmelo Anthony,SF,11.4,3.15,30.5,33.5
2003-04,Jerome Beasley,SF-PF,11.36,3.25,27,32
2003-04,Troy Bell,PG,10.89,3.06,34.5,41
2003-04,LaVell Blanchard,SF,11.64,3.38,33.5,36.5
2003-04,Keith Bogans,SG,11.43,3.25,29.5,35
2003-04,Matt Bonner,PF-SF,11.52,3.32,27,32
2003-04,Chris Bosh,PF,11.8,3.3,30.5,33
2003-04,Jermaine Boyette,PG-SG,11.2,3.07,29,35.5
2003-04,Souleymane Camara,PF-SF,11.51,3.2,28.5,34.5
2003-04,Matt Carroll,SG-SF,11.11,3.35,29,33.5
2003-04,Nick Collison,PF,11.62,3.28,28,33
2003-04,Brian Cook,PF-SF,11.87,3.45,25,29
2003-04,Joel Cornette,PF-SF,11.27,3.14,26,32.5
2003-04,Marquis Daniels,SG-PG,11.62,3.25,30.5,35
2003-04,Aleksander Djuric,C-PF,11.97,3.65,23.5,27.5
2003-04,Ruben Douglas,SG,11.95,3.27,28.5,35
2003-04,Ronald Dupree,SF-SG,11.09,3.23,37.5,41.5
2003-04,Carl English,SG-PG,11.77,3.32,28,34
2003-04,Ebi Ere,SG,11.38,3.16,29.5,33.5
2003-04,Marquis Estill,PF-C,12.92,3.31,30,36
2003-04,T.J. Ford,PG,11.45,3.2,32.5,39.5
2003-04,Jason Gardner,PG,10.62,3.17,30.5,35
2003-04,Willie Green,SG-PG,11.86,3.19,28.5,28.5
2003-04,Justin Hamilton,PG-SG,11.18,3.18,30,37.5
2003-04,Travis Hansen,SG,10.72,3.18,31.5,35
2003-04,Trevor Harvey,C-PF,11.85,3.32,29.5,32
2003-04,Marcus Hatten,PG,11.5,3.15,29.5,37.5
2003-04,Kirk Hinrich,PG-SG,10.98,3.1,29,33.5
2003-04,Jerry Holman,PF,11.54,3.24,33,37.5
2003-04,Josh Howard,SF-SG,10.89,3.09,33,36.5
2003-04,Brandon Hunter,PF,11.13,3.21,32.5,35
2003-04,Sani Ibrahim,C-PF,13.02,3.4,26,30.5
2003-04,Michael Ignerski,PF-SF,11.21,3.13,26.5,33
2003-04,Robert Jackson,PF-C,11.26,3.25,23.5,26
2003-04,Britton Johnsen,SF-PF,10.67,3.08,26.5,32.5
2003-04,Dahntay Jones,SG-SF,10.91,3.11,30,39.5
2003-04,James Jones,SF,11.18,3.19,30.5,33
2003-04,Chris Kaman,C-PF,11.33,3.37,23.5,30.5
2003-04,Jason Kapono,SG-SF,11.04,3.38,23.5,30
2003-04,Jason Keep,C-PF,11.18,3.3,29.5,34
2003-04,Bernard King,SG-PG,11.37,3.18,28,33.5
2003-04,Kyle Korver,SF,11.42,3.47,25.5,31.5
2003-04,James Lang,C-PF,14.01,3.55,24.5,32
2003-04,Donald Little,PF-C,11.18,3.2,33,37
2003-04,Chris Massie,PF-C,12.48,3.22,26.5,33
2003-04,Will McDonald,C-PF,11.83,3.42,25,32.5
2003-04,Darko Milicic,PF,11.3,3.36,26.5,32.5
2003-04,Jeff Newton,PF,11.18,3.23,27.5,34
2003-04,Uche Nsonwu-Amadi,PF-C,11.83,3.25,27.5,29
2003-04,Ugonna Okyekwe,SF,11.43,3.2,32,36.5
2003-04,Marlon Parmer,PG,-,3.42,28,32
2003-04,Stephane Pelle,PF-SF,11.37,3.27,28.5,33
2003-04,Kirk Penney,SG-SF,10.44,3.04,32,35.5
2003-04,Pavel Podkolzin,C,13.4,3.8,19.5,22.5
2003-04,Josh Powell,PF-SF,11.72,3.2,32.5,38.5
2003-04,Hollis Price,PG-SG,10.72,3.25,27.5,33
2003-04,Luke Ridnour,PG,11,3.28,26,32.5
2003-04,Joe Shipp,SG,11.75,3.2,29,34.5
2003-04,Ron Slay,SF-PF,12.01,3.43,28.5,31.5
2003-04,Theron Smith,PF-SF,10.99,3.1,28.5,32
2003-04,Tommy Smith,PF-SF,11.54,3.14,30,33
2003-04,Marvin Stone,C-PF,12.1,3.5,25.5,27.5
2003-04,Michael Sweetney,PF,12.9,3.28,26,31.5
2003-04,Dwyane Wade,SG-SF,10.56,3.08,31.5,35
2003-04,Wayne Wallace,PF,11.85,3.24,29.5,36
2003-04,Luke Walton,SF-PF,-,-,28,-
2003-04,David West,PF-SF,12.18,3.43,28.5,31.5
2003-04,Wesley Wilson,C-PF,12.19,3.3,27,30.5
2003-04,Doug Wrenn,SF-PF,11.38,3.17,34.5,41
2003-04,Derrick Zimmerman,PG,11.09,3.1,34,40.5
2002-03,Nene,PF,10.73,3.19,30,34
2002-03,Robert Archibald,PF-C,11.34,3.33,24,27.5
2002-03,Maurice Baker,PG,12.19,3.29,29.5,33
2002-03,Matt Barnes,SF,10.68,3.28,35.5,40.5
2002-03,Lubos Barton,SF-SG,11.2,3.31,25.5,31.5
2002-03,Lonny Baxter,PF-C,11.77,3.21,28,32.5
2002-03,Lee Benson,SF-PF,11.44,3.29,27.5,32.5
2002-03,Carlos Boozer,PF,10.77,3.31,26.5,28.5
2002-03,Curtis Borchardt,C,12.56,3.63,24,27
2002-03,J.R. Bremer,SG-PG,10.93,3.1,30,35.5
2002-03,Brian Brown,PG-SG,11.43,3.29,26,33
2002-03,Sylvere Bryan,PF,12.03,3.2,28.5,29.5
2002-03,Chris Burgess,C,11.58,3.37,24.5,31
2002-03,Caron Butler,SF-SG,12.15,3.33,27,31
2002-03,Rasual Butler,SF,11.54,3.29,31.5,37.5
2002-03,Mire Chatman,PG-SG,11.12,3.18,29,33
2002-03,Chris Christoffersen,C,12.55,3.39,28,31
2002-03,Craig Dawson,SG-SF,12.06,3.25,26,30
2002-03,Mike Dunleavy,SF,11.55,3.3,24.5,29
2002-03,Teddy Dupay,PG,10.53,3.19,28,33
2002-03,Corsley Edwards,PF,12.18,3.31,28.5,33
2002-03,Andy Ellis,PF,11.69,3.34,32,35.5
2002-03,Melvin Ely,PF,11.96,3.35,26,29
2002-03,Reggie Evans,PF,12.73,3.26,26,29.5
2002-03,Drew Gooden,PF,11.81,3.19,29,33
2002-03,David Graves,SG,11.2,3.27,26,29.5
2002-03,Lynn Greer,PG,11.24,3.16,29.5,36.5
2002-03,Anthony Grundy,PG-SG,11.1,3.39,27.5,32
2002-03,Marcus Haislip,PF,11.35,3.21,33.5,36.5
2002-03,Damon Hancock,SG-PG,11.62,3.03,32,35
2002-03,Greg Harrington,PG,12.06,3.32,28.5,34
2002-03,Udonis Haslem,PF,11.8,3.31,28.5,33.5
2002-03,Cordell Henry,PG,11.3,3.04,33,37.5
2002-03,Randy Holcomb,SF-PF,12.85,3.22,29.5,35.5
2002-03,Ryan Humphrey,PF-SF,11.75,3.2,31.5,37.5
2002-03,Jared Jeffries,PF,11.73,3.4,26,30
2002-03,Jason Jennings,C,11.92,3.62,29,32
2002-03,Lonnie Jones,C-PF,11.8,3.33,30.5,31.5
2002-03,Fred Jones,SG,11.12,3.13,33.5,37.5
2002-03,Sean Kennedy,PG,11.64,3.28,22.5,26.5
2002-03,Kris Lang,C-PF,11.36,3.24,28,29
2002-03,Muhammed Lasege,C-PF,12.96,3.29,27.5,30
2002-03,Kevin Lyde,C-PF,12.97,3.36,27.5,30.5
2002-03,Tito Maddox,PG,12.2,3.24,27,32.5
2002-03,Kei Madison,SF,11.74,3.22,27.5,34.5
2002-03,Aaron McGhee,PF-SF,12.24,-,26,28.5
2002-03,Elvin Mims,SF-SG,11.17,3.22,32,38
2002-03,Byron Mouton,SG-SF,11.84,3.1,24,30
2002-03,Ronald Murray,SG,11.13,3.16,31,36.5
2002-03,Uche Okafor,PF-C,14.45,3.34,24.5,25
2002-03,Jannero Pargo,PG,11.11,3.2,25.5,29.5
2002-03,Smush Parker,PG-SG,12.3,3.26,21,28.5
2002-03,Luke Recker,SG-SF,10.78,3.27,25.5,31
2002-03,Rolan Roberts,PF,11.36,3.33,32.5,37.5
2002-03,Travis Robinson,SF,11.96,3.43,26,33
2002-03,Kareem Rush,SG-SF,11.86,3.22,26,30
2002-03,Brooks Sales,PF-C,11.05,3.29,26,29.5
2002-03,John Salmons,SF-SG,11.35,3.25,30.5,34.5
2002-03,Predrag Savovic,SG,10.94,3.38,22.5,28.5
2002-03,Julian Sensley,PF-SF,11.85,3.32,27.5,31.5
2002-03,Preston Shumpert,SF,11.03,3.24,28.5,29
2002-03,Tamar Slay,SF,10.94,3.09,32.5,38
2002-03,Darius Songaila,PF,11.69,3.52,24.5,29.5
2002-03,Amar'e Stoudemire,PF,11.19,3.25,32,35.5
2002-03,Marcus Taylor,PG,11.25,3.31,27.5,33.5
2002-03,Jobey Thomas,SG,11.46,3.3,26,32
2002-03,Dajuan Wagner,PG-SG,12.03,3.22,28,35
2002-03,Chris Wilcox,PF-C,11.43,3.16,31,34.5
2002-03,Frank Williams,PG,11.73,3.29,26,31
2002-03,Jay Williams,PG,10.34,3.09,28.5,36
2002-03,George Williams,PF-SF,11.21,3.24,33.5,39
2002-03,Qyntel Woods,SF-SG,11.94,3.23,33.5,34.5
2002-03,Vincent Yarbrough,SF,11.7,3.32,30,34
2001-02,Adam Allenspach,C,11.9,3.4,28.5,31
2001-02,Gilbert Arenas,SG,-,3.25,31.5,36
2001-02,Brandon Armstrong,SG,10.91,3.2,30,37
2001-02,Shane Battier,SF-PF,10.95,3.3,29.5,33
2001-02,Cookie Belcher,SG-PG,11.26,2.91,35,41.5
2001-02,Charlie Bell,PG,10.59,3.12,31.5,38
2001-02,Ruben Boumtje-Boumtje,C,11.84,3.33,26.5,31
2001-02,Calvin Bowman,PF,11.96,3.21,28.5,34.5
2001-02,Michael Bradley,PF,11.11,3.35,27,30
2001-02,Jamison Brewer,PG,9.65,3.15,26,32.5
2001-02,Kwame Brown,PF-C,11.59,3.45,30,33
2001-02,Damone Brown,SF,11.81,3.27,32,37
2001-02,SirValiant Brown,PG,11.23,3,31,39.5
2001-02,Ryan Carroll,SF-SG,11,3.1,34.5,39
2001-02,Tyson Chandler,SF-PF,12.13,3.36,31,33.5
2001-02,Eric Chenowith,C,12.5,3.59,23.5,27.5
2001-02,Sam Clancy,PF,11.47,3.13,31,34
2001-02,Gyasi Cline-Heard,PF,11.4,3.23,31.5,34.5
2001-02,Jarron Collins,C-PF,11.65,3.6,23,29
2001-02,Jason Collins,PF-C,12.1,3.54,25.5,28.5
2001-02,Omar Cook,PG,10.77,3.2,31,35.5
2001-02,Eddy Curry,C,12.25,3.53,28,31
2001-02,Tate Decker,SF,12.19,3.47,25.5,28.5
2001-02,DeSagana Diop,C,12.37,3.56,21.5,25.5
2001-02,Robb Dryden,C,12.47,3.46,27,30
2001-02,Maurice Evans,SG,10.08,3.12,34.5,37.5
2001-02,Anthony Evans,PF,12.56,3.31,31.5,33
2001-02,Benjamin Eze,C-PF,13.05,3.36,29,32
2001-02,Kimani Ffriend,C-PF,11.46,3.09,32,33
2001-02,Alton Ford,PF,11.7,3.16,34.5,36.5
2001-02,Joseph Forte,SG,11.51,3.19,26.5,33
2001-02,Jason Gardner,PG,10.88,2.92,34.5,40
2001-02,Jerry Green,PG-SG,11.7,3.17,28.5,35
2001-02,Kenny Gregory,SF,11.33,3.1,39.5,45.5
2001-02,Eddie Griffin,PF-SF,11.77,3.21,26.5,33
2001-02,Trenton Hassell,SG-SF,11.57,3.29,35.5,37.5
2001-02,Kirk Haston,PF-SF,12.25,3.35,27,31.5
2001-02,Brendan Haywood,C,12.87,3.5,27,28.5
2001-02,Michael Hicks,SG,11.38,3.19,33,40.5
2001-02,Steven Hunter,C-PF,11.99,3.15,30.5,38.5
2001-02,Andre Hutson,PF,11.25,3.3,29,32.5
2001-02,Nate James,SF,11.42,3.31,26,31
2001-02,Richard Jefferson,SF,11.19,3.15,33,38.5
2001-02,Horace Jenkins,PG,10.97,3.1,34.5,41
2001-02,Darrell Johns,C,12.41,3.59,23.5,30
2001-02,Ken Johnson,C,11.27,3.12,32.5,35
2001-02,Joe Johnson,SF-SG,12.05,3.4,32.5,36.5
2001-02,Darren Kelly,SG-PG,11.38,3.21,30.5,34.5
2001-02,Sean Lampley,SF,11.06,3.12,36,40
2001-02,Zach Marbury,PG-SG,11.53,3.1,33,36.5
2001-02,Mike Mardesich,C-PF,11.65,3.45,24,30
2001-02,DeMarcus Minor,SG,10.57,3.15,29,41
2001-02,Jamario Moon,SF,11.64,3.08,33,43
2001-02,Troy Murphy,PF,11.22,3.43,28.5,34.5
2001-02,Troy Ostler,PF-SF,13.42,3.5,26.5,29.5
2001-02,Lazaros Papadopoulos,C-PF,12,3.7,23,26
2001-02,Rashad Phillips,PG,11.93,3.27,27,32
2001-02,Demetrius Porter,PG,11.5,3.34,26,31
2001-02,Martin Rancik,PF-SF,10.77,3.19,32,37
2001-02,Jason Richardson,SF-SG,11.75,3.12,32.5,39.5
2001-02,Norman Richardson,SG,10.97,3.15,30.5,35.5
2001-02,Jeryl Sasser,PG-SG,11.47,3.22,29,34
2001-02,Kenny Satterfield,PG,12.05,3.2,28.5,33
2001-02,Brian Scalabrine,PF-SF,11.75,3.47,27,30.5
2001-02,Lee Scruggs,PF-SF,13.28,3.55,23.5,29.5
2001-02,Bobby Simmons,SF,11.69,3.41,27.5,34
2001-02,Will Solomon,PG-SG,11.3,3.22,28.5,35
2001-02,Greg Stevenson,SF,11.29,3.23,30,35.5
2001-02,Damone Thornton,PF,11.17,3.2,33.5,37.5
2001-02,Jamaal Tinsley,PG,11.96,3.2,28,37.5
2001-02,Tory Walker,SF,11.95,3.25,28,33
2001-02,Souleymane Wane,C,12.02,3.46,29,30.5
2001-02,Earl Watson,PG,10.97,3.19,32.5,37.5
2001-02,Rodney White,SF,12.07,3.47,27.5,33
2001-02,Loren Woods,C-PF,11.83,3.48,24.5,28
2001-02,Brent Wright,PF-SF,12.25,3.3,23,29
2001-02,Michael Wright,PF,11.37,3.21,27.5,33.5
2000-01,Malik Allen,PF-C,11.83,3.38,25.5,29
2000-01,Harold Arceneaux,SG-SF,13.8,-,-,29
2000-01,Lamont Barnes,PF-C,12.3,3.4,28,29.5
2000-01,Mario Bland,PF,13.04,3.47,27,31
2000-01,Primoz Brezec,C,11.53,3.55,26,29.5
2000-01,Speedy Claxton,PG,10.48,3.06,36,42.5
2000-01,Eric Coley,SG-SF,11.4,3.15,35,38
2000-01,Ed Cota,PG,10.98,3.24,26.5,33.5
2000-01,Schea Cotton,SF,11.55,3,34,38
2000-01,Caswell Cyrus,PF,12.12,3.16,33.5,37.5
2000-01,Khalid El-Amin,PG,10.59,3.32,27.5,32
2000-01,Vassil Evtimov,PF,11.75,3.52,21,28.5
2000-01,Antonis Fotsis,SF,11.6,3.44,27,30
2000-01,Eddie Gill,PG,11.12,3.18,35,38.5
2000-01,Marcus Goree,SF-PF,12,3.25,29.5,33.5
2000-01,A.J. Granger,SF,10.73,3.25,30,34
2000-01,A.J. Guyton,PG-SG,10.55,3.22,33,37.5
2000-01,Ron Hale,SG-SF,12.58,3.2,29.5,34.5
2000-01,Jason Hart,PG,11.7,3.34,29.5,33.5
2000-01,Donnell Harvey,PF,11.23,-,33,32.5
2000-01,Johnny Hemsley,SG-SF,11.5,3.19,31.5,35
2000-01,Michael Hermon,SG-PG,11.79,3.25,29,33
2000-01,Cory Hightower,SG-SF,11.92,3.37,29.5,34.5
2000-01,Shaheen Holloway,PG,11.22,3.32,-,-
2000-01,Eddie House,SG-PG,11.12,3.27,29.5,38.5
2000-01,Jimmie Hunter,SG-PG,11.23,3.35,29,36
2000-01,Jacob Jaacks,PF,11.48,3.58,26,32
2000-01,Marko Jaric,SG-SF,11.32,3.28,27.5,33
2000-01,Nate Johnson,SF,11.9,3.33,27,33.5
2000-01,Kenyon Jones,PF-C,12.44,3.6,28.5,30
2000-01,Mark Karcher,SG,11.51,3.4,27.5,30.5